,company,fold,frac,hidden_score,len(train_y),score,seed
145,small,5,0.1,0.8873239436619719,41,1.0,2
146,small,6,0.1,0.8943661971830986,42,0.75,2
147,small,7,0.1,0.8943661971830986,42,1.0,2
148,small,8,0.1,0.9014084507042254,42,0.75,2
149,small,9,0.1,0.8873239436619719,42,1.0,2
150,large,0,0.1,0.9577464788732394,342,0.9230769230769231,2
151,large,1,0.1,0.9577464788732394,343,0.8421052631578947,2
152,large,2,0.1,0.9507042253521126,343,0.9210526315789473,2
153,large,3,0.1,0.9577464788732394,343,0.9473684210526315,2
154,large,4,0.1,0.9577464788732394,343,1.0,2
155,large,5,0.1,0.9577464788732394,343,0.9736842105263158,2
156,large,6,0.1,0.9507042253521126,343,0.9736842105263158,2
157,large,7,0.1,0.9507042253521126,343,0.9210526315789473,2
158,large,8,0.1,0.9507042253521126,343,0.9736842105263158,2
159,large,9,0.1,0.9577464788732394,343,0.9473684210526315,2
160,small,0,0.1,0.9507042253521126,41,1.0,3
161,small,1,0.1,0.9436619718309859,41,1.0,3
162,small,2,0.1,0.9507042253521126,41,1.0,3
163,small,3,0.1,0.8873239436619719,41,0.8,3
164,small,4,0.1,0.8732394366197183,41,0.6,3
165,small,5,0.1,0.9295774647887324,41,0.8,3
166,small,6,0.1,0.9225352112676056,42,0.5,3
167,small,7,0.1,0.9507042253521126,42,1.0,3
168,small,8,0.1,0.9225352112676056,42,0.25,3
169,small,9,0.1,0.9577464788732394,42,0.75,3
170,large,0,0.1,0.9507042253521126,342,0.9487179487179487,3
171,large,1,0.1,0.9507042253521126,343,0.9210526315789473,3
172,large,2,0.1,0.9507042253521126,343,0.9736842105263158,3
173,large,3,0.1,0.9507042253521126,343,0.9736842105263158,3
174,large,4,0.1,0.9507042253521126,343,0.9473684210526315,3
175,large,5,0.1,0.9507042253521126,343,1.0,3
176,large,6,0.1,0.9507042253521126,343,0.9473684210526315,3
177,large,7,0.1,0.9507042253521126,343,0.9736842105263158,3
178,large,8,0.1,0.9577464788732394,343,0.8947368421052632,3
179,large,9,0.1,0.9507042253521126,343,0.9736842105263158,3
180,small,0,0.1,0.8873239436619719,35,1.0,4
181,small,1,0.1,0.8873239436619719,35,1.0,4
182,small,2,0.1,0.9014084507042254,35,1.0,4
183,small,3,0.1,0.9014084507042254,35,0.75,4
184,small,4,0.1,0.8943661971830986,35,0.75,4
185,small,5,0.1,0.8661971830985915,35,1.0,4
186,small,6,0.1,0.9014084507042254,35,1.0,4
187,small,7,0.1,0.8802816901408451,35,1.0,4
188,small,8,0.1,0.8873239436619719,35,1.0,4
189,small,9,0.1,0.8732394366197183,36,0.6666666666666666,4
190,large,0,0.1,0.9577464788732394,349,0.9743589743589743,4
191,large,1,0.1,0.9507042253521126,349,0.9230769230769231,4
192,large,2,0.1,0.9577464788732394,349,0.9487179487179487,4
193,large,3,0.1,0.9507042253521126,349,0.9230769230769231,4
194,large,4,0.1,0.9507042253521126,349,0.9743589743589743,4
195,large,5,0.1,0.9577464788732394,349,1.0,4
196,large,6,0.1,0.9507042253521126,349,0.9487179487179487,4
197,large,7,0.1,0.9577464788732394,349,0.9487179487179487,4
198,large,8,0.1,0.9507042253521126,350,0.8947368421052632,4
199,large,9,0.1,0.9577464788732394,350,0.9210526315789473,4
200,small,0,0.15,0.9154929577464789,63,0.875,0
201,small,1,0.15,0.8943661971830986,64,0.7142857142857143,0
202,small,2,0.15,0.9154929577464789,64,1.0,0
203,small,3,0.15,0.9225352112676056,64,1.0,0
204,small,4,0.15,0.9154929577464789,64,1.0,0
205,small,5,0.15,0.9154929577464789,64,1.0,0
206,small,6,0.15,0.8943661971830986,64,0.8571428571428571,0
207,small,7,0.15,0.8732394366197183,64,0.8571428571428571,0
208,small,8,0.15,0.9154929577464789,64,1.0,0
209,small,9,0.15,0.9225352112676056,64,1.0,0
210,large,0,0.15,0.9577464788732394,320,1.0,0
211,large,1,0.15,0.9577464788732394,320,0.9166666666666666,0
212,large,2,0.15,0.9577464788732394,320,1.0,0
213,large,3,0.15,0.9577464788732394,320,1.0,0
214,large,4,0.15,0.9577464788732394,320,0.9722222222222222,0
215,large,5,0.15,0.9507042253521126,320,0.9444444444444444,0
216,large,6,0.15,0.9507042253521126,321,0.8571428571428571,0
217,large,7,0.15,0.9577464788732394,321,0.9714285714285714,0
218,large,8,0.15,0.9577464788732394,321,0.9714285714285714,0
219,large,9,0.15,0.9577464788732394,321,0.9428571428571428,0
220,small,0,0.15,0.9436619718309859,65,0.875,1
221,small,1,0.15,0.9507042253521126,65,0.875,1
222,small,2,0.15,0.9366197183098591,65,1.0,1
223,small,3,0.15,0.9436619718309859,66,1.0,1
224,small,4,0.15,0.9507042253521126,66,0.8571428571428571,1
225,small,5,0.15,0.9436619718309859,66,1.0,1
226,small,6,0.15,0.9014084507042254,66,0.7142857142857143,1
227,small,7,0.15,0.9436619718309859,66,0.7142857142857143,1
228,small,8,0.15,0.9577464788732394,66,1.0,1
229,small,9,0.15,0.9436619718309859,66,1.0,1
230,large,0,0.15,0.9647887323943662,318,0.9722222222222222,1
231,large,1,0.15,0.9507042253521126,318,0.9722222222222222,1
232,large,2,0.15,0.9577464788732394,318,0.9444444444444444,1
233,large,3,0.15,0.9507042253521126,318,0.9722222222222222,1
234,large,4,0.15,0.9577464788732394,319,0.9428571428571428,1
235,large,5,0.15,0.9577464788732394,319,0.9714285714285714,1
236,large,6,0.15,0.9577464788732394,319,1.0,1
237,large,7,0.15,0.9507042253521126,319,0.9428571428571428,1
238,large,8,0.15,0.9577464788732394,319,0.9428571428571428,1
239,large,9,0.15,0.9577464788732394,319,0.9428571428571428,1
240,small,0,0.15,0.9366197183098591,55,0.8571428571428571,2
241,small,1,0.15,0.9366197183098591,55,0.8571428571428571,2
242,small,2,0.15,0.9295774647887324,56,1.0,2
243,small,3,0.15,0.9366197183098591,56,1.0,2
244,small,4,0.15,0.9366197183098591,56,1.0,2
245,small,5,0.15,0.9295774647887324,56,1.0,2
246,small,6,0.15,0.9366197183098591,56,1.0,2
247,small,7,0.15,0.9366197183098591,56,1.0,2
248,small,8,0.15,0.9366197183098591,56,1.0,2
249,small,9,0.15,0.9295774647887324,56,1.0,2
250,large,0,0.15,0.9577464788732394,328,0.8918918918918919,2
251,large,1,0.15,0.9507042253521126,328,0.9459459459459459,2
252,large,2,0.15,0.9577464788732394,328,0.9459459459459459,2
253,large,3,0.15,0.9577464788732394,328,0.972972972972973,2
254,large,4,0.15,0.9577464788732394,328,0.972972972972973,2
255,large,5,0.15,0.9577464788732394,329,0.9166666666666666,2
256,large,6,0.15,0.9507042253521126,329,0.9166666666666666,2
257,large,7,0.15,0.9577464788732394,329,0.9722222222222222,2
258,large,8,0.15,0.9577464788732394,329,0.9444444444444444,2
259,large,9,0.15,0.9507042253521126,329,0.9722222222222222,2
260,small,0,0.15,0.9577464788732394,55,1.0,3
261,small,1,0.15,0.9507042253521126,55,0.7142857142857143,3
262,small,2,0.15,0.9436619718309859,56,1.0,3
263,small,3,0.15,0.9154929577464789,56,0.8333333333333334,3
264,small,4,0.15,0.9436619718309859,56,0.8333333333333334,3
265,small,5,0.15,0.9366197183098591,56,0.8333333333333334,3
266,small,6,0.15,0.9295774647887324,56,0.8333333333333334,3
267,small,7,0.15,0.9366197183098591,56,0.6666666666666666,3
268,small,8,0.15,0.9436619718309859,56,1.0,3
269,small,9,0.15,0.9366197183098591,56,0.8333333333333334,3
270,large,0,0.15,0.9507042253521126,328,0.9459459459459459,3
271,large,1,0.15,0.9436619718309859,328,0.9459459459459459,3
272,large,2,0.15,0.9507042253521126,328,0.972972972972973,3
273,large,3,0.15,0.9577464788732394,328,0.9459459459459459,3
274,large,4,0.15,0.9507042253521126,328,0.9459459459459459,3
275,large,5,0.15,0.9507042253521126,329,0.9722222222222222,3
276,large,6,0.15,0.9507042253521126,329,0.9166666666666666,3
277,large,7,0.15,0.9507042253521126,329,0.9444444444444444,3
278,large,8,0.15,0.9507042253521126,329,0.9722222222222222,3
279,large,9,0.15,0.9507042253521126,329,0.9444444444444444,3
280,small,0,0.15,0.9084507042253521,52,0.8333333333333334,4
281,small,1,0.15,0.9084507042253521,52,1.0,4
282,small,2,0.15,0.9084507042253521,52,1.0,4
283,small,3,0.15,0.9014084507042254,52,0.8333333333333334,4
284,small,4,0.15,0.9084507042253521,52,1.0,4
285,small,5,0.15,0.9084507042253521,52,1.0,4
286,small,6,0.15,0.9014084507042254,52,0.8333333333333334,4
287,small,7,0.15,0.9154929577464789,52,0.8333333333333334,4
288,small,8,0.15,0.9084507042253521,53,1.0,4
289,small,9,0.15,0.9154929577464789,53,0.8,4
290,large,0,0.15,0.9577464788732394,332,0.918918918918919,4
291,large,1,0.15,0.9507042253521126,332,0.918918918918919,4
292,large,2,0.15,0.9577464788732394,332,0.9459459459459459,4
293,large,3,0.15,0.9577464788732394,332,1.0,4
294,large,4,0.15,0.9507042253521126,332,1.0,4
295,large,5,0.15,0.9577464788732394,332,0.9459459459459459,4
296,large,6,0.15,0.9507042253521126,332,0.918918918918919,4
297,large,7,0.15,0.9577464788732394,332,0.8918918918918919,4
298,large,8,0.15,0.9577464788732394,332,1.0,4
299,large,9,0.15,0.9507042253521126,333,0.9444444444444444,4
300,small,0,0.2,0.9154929577464789,81,1.0,0
301,small,1,0.2,0.9084507042253521,82,0.8888888888888888,0
302,small,2,0.2,0.9154929577464789,82,1.0,0
303,small,3,0.2,0.8802816901408451,82,0.6666666666666666,0
304,small,4,0.2,0.9225352112676056,82,1.0,0
305,small,5,0.2,0.9225352112676056,82,1.0,0
306,small,6,0.2,0.8943661971830986,82,0.8888888888888888,0
307,small,7,0.2,0.9154929577464789,82,1.0,0
308,small,8,0.2,0.9084507042253521,82,1.0,0
309,small,9,0.2,0.9225352112676056,82,1.0,0
310,large,0,0.2,0.9577464788732394,302,0.9411764705882353,0
311,large,1,0.2,0.971830985915493,302,0.9117647058823529,0
312,large,2,0.2,0.9577464788732394,302,0.9705882352941176,0
313,large,3,0.2,0.9577464788732394,302,0.9705882352941176,0
314,large,4,0.2,0.9577464788732394,302,0.9705882352941176,0
315,large,5,0.2,0.9647887323943662,302,0.9117647058823529,0
316,large,6,0.2,0.9647887323943662,303,0.9393939393939394,0
317,large,7,0.2,0.9436619718309859,303,0.9393939393939394,0
318,large,8,0.2,0.9577464788732394,303,1.0,0
319,large,9,0.2,0.9577464788732394,303,1.0,0
320,small,0,0.2,0.9647887323943662,81,1.0,1
321,small,1,0.2,0.9647887323943662,82,1.0,1
322,small,2,0.2,0.9507042253521126,82,1.0,1
323,small,3,0.2,0.9507042253521126,82,0.8888888888888888,1
324,small,4,0.2,0.9507042253521126,82,1.0,1
325,small,5,0.2,0.9647887323943662,82,0.8888888888888888,1
326,small,6,0.2,0.9507042253521126,82,0.8888888888888888,1
327,small,7,0.2,0.9295774647887324,82,0.7777777777777778,1
328,small,8,0.2,0.9647887323943662,82,1.0,1
329,small,9,0.2,0.9295774647887324,82,0.7777777777777778,1
330,large,0,0.2,0.9577464788732394,302,1.0,1
331,large,1,0.2,0.9577464788732394,302,0.8529411764705882,1
332,large,2,0.2,0.9507042253521126,302,1.0,1
333,large,3,0.2,0.9577464788732394,302,0.9411764705882353,1
334,large,4,0.2,0.9507042253521126,302,1.0,1
335,large,5,0.2,0.9507042253521126,302,0.9117647058823529,1
336,large,6,0.2,0.9577464788732394,303,0.9393939393939394,1
337,large,7,0.2,0.9507042253521126,303,1.0,1
338,large,8,0.2,0.9366197183098591,303,0.9090909090909091,1
339,large,9,0.2,0.9507042253521126,303,0.9696969696969697,1
340,small,0,0.2,0.9436619718309859,74,1.0,2
341,small,1,0.2,0.9436619718309859,74,1.0,2
342,small,2,0.2,0.9436619718309859,74,1.0,2
343,small,3,0.2,0.9436619718309859,75,1.0,2
344,small,4,0.2,0.9436619718309859,75,1.0,2
345,small,5,0.2,0.9436619718309859,75,1.0,2
346,small,6,0.2,0.9436619718309859,75,0.875,2
347,small,7,0.2,0.9436619718309859,75,1.0,2
348,small,8,0.2,0.9507042253521126,75,0.875,2
349,small,9,0.2,0.9436619718309859,75,1.0,2
350,large,0,0.2,0.9577464788732394,309,0.9714285714285714,2
351,large,1,0.2,0.9507042253521126,309,0.8857142857142857,2
352,large,2,0.2,0.9577464788732394,309,0.9714285714285714,2
353,large,3,0.2,0.9507042253521126,309,0.9428571428571428,2
354,large,4,0.2,0.9507042253521126,310,1.0,2
355,large,5,0.2,0.9577464788732394,310,0.9705882352941176,2
356,large,6,0.2,0.9507042253521126,310,0.9117647058823529,2
357,large,7,0.2,0.9577464788732394,310,0.9117647058823529,2
358,large,8,0.2,0.9507042253521126,310,0.9705882352941176,2
359,large,9,0.2,0.9507042253521126,310,0.8823529411764706,2
360,small,0,0.2,0.9295774647887324,75,0.7777777777777778,3
361,small,1,0.2,0.9225352112676056,75,0.7777777777777778,3
362,small,2,0.2,0.9295774647887324,75,0.7777777777777778,3
363,small,3,0.2,0.9577464788732394,75,1.0,3
364,small,4,0.2,0.9647887323943662,76,0.875,3
365,small,5,0.2,0.9507042253521126,76,0.875,3
366,small,6,0.2,0.9647887323943662,76,0.875,3
367,small,7,0.2,0.9577464788732394,76,0.875,3
368,small,8,0.2,0.9577464788732394,76,1.0,3
369,small,9,0.2,0.9577464788732394,76,1.0,3
370,large,0,0.2,0.9577464788732394,308,0.9428571428571428,3
371,large,1,0.2,0.9366197183098591,308,0.9142857142857143,3
372,large,2,0.2,0.9577464788732394,308,0.9714285714285714,3
373,large,3,0.2,0.9507042253521126,309,1.0,3
374,large,4,0.2,0.9507042253521126,309,1.0,3
375,large,5,0.2,0.9577464788732394,309,0.9411764705882353,3
376,large,6,0.2,0.9577464788732394,309,0.9411764705882353,3
377,large,7,0.2,0.9507042253521126,309,1.0,3
378,large,8,0.2,0.9577464788732394,309,0.9411764705882353,3
379,large,9,0.2,0.9436619718309859,309,0.8529411764705882,3
380,small,0,0.2,0.9154929577464789,73,1.0,4
381,small,1,0.2,0.8943661971830986,73,0.8888888888888888,4
382,small,2,0.2,0.9154929577464789,74,1.0,4
383,small,3,0.2,0.9154929577464789,74,1.0,4
384,small,4,0.2,0.9154929577464789,74,1.0,4
385,small,5,0.2,0.9014084507042254,74,0.875,4
386,small,6,0.2,0.9084507042253521,74,0.875,4
387,small,7,0.2,0.9295774647887324,74,1.0,4
388,small,8,0.2,0.9154929577464789,74,1.0,4
389,small,9,0.2,0.9225352112676056,74,1.0,4
390,large,0,0.2,0.9577464788732394,310,0.9714285714285714,4
391,large,1,0.2,0.9577464788732394,310,0.9714285714285714,4
392,large,2,0.2,0.9577464788732394,310,1.0,4
393,large,3,0.2,0.9436619718309859,310,0.8571428571428571,4
394,large,4,0.2,0.9577464788732394,310,1.0,4
395,large,5,0.2,0.9577464788732394,311,1.0,4
396,large,6,0.2,0.9507042253521126,311,0.9117647058823529,4
397,large,7,0.2,0.9507042253521126,311,0.9117647058823529,4
398,large,8,0.2,0.9507042253521126,311,0.9117647058823529,4
399,large,9,0.2,0.9577464788732394,311,0.9411764705882353,4
400,small,0,0.25,0.9154929577464789,100,1.0,0
401,small,1,0.25,0.9084507042253521,100,0.9166666666666666,0
402,small,2,0.25,0.9295774647887324,101,0.9090909090909091,0
403,small,3,0.25,0.9154929577464789,101,1.0,0
404,small,4,0.25,0.9225352112676056,101,1.0,0
405,small,5,0.25,0.9154929577464789,101,0.9090909090909091,0
406,small,6,0.25,0.9014084507042254,101,0.9090909090909091,0
407,small,7,0.25,0.9225352112676056,101,0.9090909090909091,0
408,small,8,0.25,0.9295774647887324,101,0.9090909090909091,0
409,small,9,0.25,0.9295774647887324,101,1.0,0
410,large,0,0.25,0.9647887323943662,283,0.9375,0
411,large,1,0.25,0.9577464788732394,283,1.0,0
412,large,2,0.25,0.971830985915493,283,0.96875,0
413,large,3,0.25,0.9577464788732394,283,0.90625,0
414,large,4,0.25,0.971830985915493,283,0.96875,0
415,large,5,0.25,0.9647887323943662,284,0.8709677419354839,0
416,large,6,0.25,0.971830985915493,284,0.967741935483871,0
417,large,7,0.25,0.9647887323943662,284,1.0,0
418,large,8,0.25,0.9507042253521126,284,0.9032258064516129,0
419,large,9,0.25,0.971830985915493,284,0.9032258064516129,0
420,small,0,0.25,0.9577464788732394,99,1.0,1
421,small,1,0.25,0.9436619718309859,99,0.7272727272727273,1
422,small,2,0.25,0.9436619718309859,99,0.9090909090909091,1
423,small,3,0.25,0.9507042253521126,99,1.0,1
424,small,4,0.25,0.9577464788732394,99,1.0,1
425,small,5,0.25,0.9577464788732394,99,0.7272727272727273,1
426,small,6,0.25,0.9366197183098591,99,0.9090909090909091,1
427,small,7,0.25,0.9577464788732394,99,1.0,1
428,small,8,0.25,0.9436619718309859,99,0.9090909090909091,1
429,small,9,0.25,0.9366197183098591,99,0.9090909090909091,1
430,large,0,0.25,0.9507042253521126,285,0.96875,1
431,large,1,0.25,0.9507042253521126,285,0.96875,1
432,large,2,0.25,0.9507042253521126,285,1.0,1
433,large,3,0.25,0.9507042253521126,285,0.96875,1
434,large,4,0.25,0.9507042253521126,285,0.9375,1
435,large,5,0.25,0.9577464788732394,285,0.90625,1
436,large,6,0.25,0.9507042253521126,285,0.9375,1
437,large,7,0.25,0.9577464788732394,286,0.9032258064516129,1
438,large,8,0.25,0.9647887323943662,286,0.9032258064516129,1
439,large,9,0.25,0.9577464788732394,286,0.967741935483871,1
440,small,0,0.25,0.9014084507042254,99,0.9166666666666666,2
441,small,1,0.25,0.9366197183098591,100,0.9090909090909091,2
442,small,2,0.25,0.9225352112676056,100,0.8181818181818182,2
443,small,3,0.25,0.9295774647887324,100,1.0,2
444,small,4,0.25,0.9366197183098591,100,0.9090909090909091,2
445,small,5,0.25,0.9366197183098591,100,1.0,2
446,small,6,0.25,0.9366197183098591,100,1.0,2
447,small,7,0.25,0.9366197183098591,100,1.0,2
448,small,8,0.25,0.9436619718309859,100,1.0,2
449,small,9,0.25,0.9366197183098591,100,1.0,2
450,large,0,0.25,0.9507042253521126,284,0.9375,2
451,large,1,0.25,0.9436619718309859,284,0.875,2
452,large,2,0.25,0.9577464788732394,284,0.9375,2
453,large,3,0.25,0.9507042253521126,284,0.9375,2
454,large,4,0.25,0.9577464788732394,284,0.9375,2
455,large,5,0.25,0.9507042253521126,284,0.96875,2
456,large,6,0.25,0.9577464788732394,285,0.967741935483871,2
457,large,7,0.25,0.9577464788732394,285,0.9354838709677419,2
458,large,8,0.25,0.9436619718309859,285,0.9032258064516129,2
459,large,9,0.25,0.9577464788732394,285,0.967741935483871,2
460,small,0,0.25,0.9436619718309859,95,0.9090909090909091,3
461,small,1,0.25,0.9577464788732394,95,1.0,3
462,small,2,0.25,0.9436619718309859,95,0.8181818181818182,3
463,small,3,0.25,0.9647887323943662,95,0.8181818181818182,3
464,small,4,0.25,0.9577464788732394,95,1.0,3
465,small,5,0.25,0.9436619718309859,95,0.9090909090909091,3
466,small,6,0.25,0.9577464788732394,96,1.0,3
467,small,7,0.25,0.9507042253521126,96,1.0,3
468,small,8,0.25,0.9295774647887324,96,0.8,3
469,small,9,0.25,0.9577464788732394,96,1.0,3
470,large,0,0.25,0.9577464788732394,288,0.9696969696969697,3
471,large,1,0.25,0.9507042253521126,289,0.90625,3
472,large,2,0.25,0.9577464788732394,289,0.96875,3
473,large,3,0.25,0.9507042253521126,289,0.96875,3
474,large,4,0.25,0.9577464788732394,289,0.96875,3
475,large,5,0.25,0.9577464788732394,289,0.90625,3
