,frac,scenario,company,valid_rmse,hidden_rmse,seed,# hidden,# valid
49,0.3,0.3_random4,large,0.7797011267095649,0.8374576992602215,4,1000005,630275
50,0.4,0.4_random0,small,0.7953047642532995,0.8922808845677223,0,1000005,358747
51,0.4,0.4_random0,large,0.7823360426197409,0.8564303670069577,0,1000005,541259
52,0.4,0.4_random1,small,0.7888018524768049,0.8937369912317287,1,1000005,361141
53,0.4,0.4_random1,large,0.7834945731635304,0.8559962884913505,1,1000005,538864
54,0.4,0.4_random2,small,0.79095658149974,0.8926166621099211,2,1000005,361994
55,0.4,0.4_random2,large,0.785183148804658,0.8573008437665052,2,1000005,538012
56,0.4,0.4_random3,small,0.7934122932139339,0.8922877300263927,3,1000005,359451
57,0.4,0.4_random3,large,0.7815209312637177,0.8569181159675089,3,1000005,540555
58,0.4,0.4_random4,small,0.792905939284123,0.8927481295155041,4,1000005,361134
59,0.4,0.4_random4,large,0.7827944122121563,0.8568753209302442,4,1000005,538872
60,0.5,0.5_random0,small,0.7893350355485373,0.8755536111336365,0,1000005,448049
61,0.5,0.5_random0,large,0.7841559433030199,0.8744393255154036,0,1000005,451957
62,0.5,0.5_random1,small,0.7863615817879148,0.8746674499034117,1,1000005,453451
63,0.5,0.5_random1,large,0.7882640267848551,0.8760004152886316,1,1000005,446554
64,0.5,0.5_random2,small,0.786170466473308,0.8736389122701523,2,1000005,451325
65,0.5,0.5_random2,large,0.7884047015355957,0.8758305929070287,2,1000005,448680
66,0.5,0.5_random3,small,0.7871412488296364,0.8745357016672087,3,1000005,450026
67,0.5,0.5_random3,large,0.7874242239535153,0.8759097139925387,3,1000005,449980
68,0.5,0.5_random4,small,0.7868324988181313,0.8754166127770264,4,1000005,452273
69,0.5,0.5_random4,large,0.7869937702894153,0.8755185323486835,4,1000005,447733
